Månad,Total Betalning,Betalning Remember,Restskuld Remember,Räntekostnad,Betalning CircleK,Restskuld CircleK,Räntekostnad,Betalning ICA 1,Restskuld ICA 1,Räntekostnad ,Betalning ICA 2,Restskuld ICA 2,Räntekostnad,Betalning Norwegian,Restskuld Norwegian,Räntekostnad,Betalning Billån,Restskuld Billån,Räntekostnad,Räntekostnad Total,Skuld Total,,,,Remember,"24000,00",,
2025-10,"10 206,00 kr","500,00","23500,00",,"500,00","23500,00",,"3203,00","136620,00",,"2203,00","117797,00",,,,,"3800,00","192600,00",,,,,,,CircleK,"24000,00",,
2025-11,"15 293,00 kr","500,00","23205,47","205,47","500,00","23321,17","321,17","3203,00","134332,35","915,35","2203,00","116352,32","758,32","5087,00","163936,00",,"3800,00","189763,00","963,00",,,,,,Ica1,"139823,00",,
2025-12,"15 293,00 kr","500,00","22908,36","202,89","500,00","23139,89","318,72","3203,00","132029,38","900,03","2203,00","114898,34","749,02","5087,00","160900,93","2051,93","3800,00","186911,82","948,81","5171,41","640788,72",,,,Ica2,"120000,00",,
2026-01,"15 293,00 kr","500,00","22608,66","200,30","500,00","22956,13","316,25","3203,00","129710,98","884,60","2203,00","113434,99","739,66","5087,00","157827,88","2013,94","3800,00","184046,37","934,56","5089,30","630585,01",,,,Bil,"196400,00",,
2026-02,"15 293,00 kr","500,00","22306,33","197,68","500,00","22769,87","313,73","3203,00","127377,04","869,06","2203,00","111962,23","730,24","5087,00","154716,35","1975,48","3800,00","181166,61","920,23","5006,42","620298,43",,,,Norwegian,"169023,00",,
2026-03,"15 293,00 kr","500,00","22001,36","195,03","500,00","22581,06","311,19","3203,00","125027,47","853,43","2203,00","110479,99","720,76","5087,00","151565,89","1936,53","3800,00","178272,44","905,83","4922,77","609928,20",,,,,,,"476846,00"
2026-04,"15 293,00 kr","500,00","21693,73","192,37","500,00","22389,66","308,61","3203,00","122662,15","837,68","2203,00","108988,20","711,21","5087,00","148375,99","1897,10","3800,00","175363,80","891,36","4838,33","599473,54",,,,,,,
2026-05,"15 293,00 kr","500,00","21383,40","189,68","500,00","22195,66","305,99","3203,00","120280,99","821,84","2203,00","107486,82","701,61","5087,00","145146,16","1857,17","3800,00","172440,62","876,82","4753,11","588933,64",,,,,,,
2026-06,"15 293,00 kr","500,00","21070,37","186,96","500,00","21999,00","303,34","3203,00","117883,87","805,88","2203,00","105975,76","691,95","5087,00","141875,91","1816,75","3800,00","169502,82","862,20","4667,08","578307,73",,,,Totalt:,"673246,00",,
2026-07,"15 293,00 kr","500,00","20754,59","184,23","500,00","21799,65","300,65","3203,00","115470,69","789,82","2203,00","104454,98","682,22","5087,00","138564,72","1775,81","3800,00","166550,34","847,51","4580,25","567594,97",,,,,,,
2026-08,"15 293,00 kr","500,00","20436,06","181,46","500,00","21597,58","297,93","3203,00","113041,35","773,65","2203,00","102924,41","672,43","5087,00","135212,09","1734,37","3800,00","163583,09","832,75","4492,60","556794,57",,,,,,,
2026-09,"15 293,00 kr","500,00","20114,74","178,68","500,00","21392,75","295,17","3203,00","110595,72","757,38","2203,00","101383,99","662,58","5087,00","131817,49","1692,40","3800,00","160601,00","817,92","4404,12","545905,69",,,,,,,
2026-10,"15 293,00 kr","500,00","19790,61","175,87","500,00","21185,11","292,37","3203,00","108133,71","740,99","2203,00","99833,64","652,66","5087,00","128380,41","1649,92","3800,00","157604,01","803,01","4314,81","534927,50",,,,,,,
2026-11,"15 293,00 kr","500,00","19463,64","173,04","500,00","20974,64","289,53","3203,00","105655,21","724,50","2203,00","98273,32","642,68","5087,00","124900,30","1606,89","3800,00","154592,03","788,02","4224,66","523859,15",,,,,,,
2026-12,"15 293,00 kr","500,00","19133,82","170,18","500,00","20761,30","286,65","3203,00","103160,10","707,89","2203,00","96702,96","632,63","5087,00","121376,64","1563,34","3800,00","151564,99","772,96","4133,65","512699,80",,,,,,,
2027-01,"15 293,00 kr","500,00","18801,11","167,29","500,00","20545,03","283,74","3203,00","100648,27","691,17","2203,00","95122,48","622,53","5087,00","117808,87","1519,23","3800,00","148522,81","757,82","4041,78","501448,59",,,,,,,
2027-02,"15 293,00 kr","500,00","18465,50","164,38","500,00","20325,82","280,78","3203,00","98119,62","674,34","2203,00","93531,83","612,35","5087,00","114196,44","1474,57","3800,00","145465,43","742,61","3949,05","490104,64",,,,,,,
2027-03,"15 293,00 kr","500,00","18126,95","161,45","500,00","20103,60","277,79","3203,00","95574,02","657,40","2203,00","91930,95","602,11","5087,00","110538,80","1429,36","3800,00","142392,76","727,33","3855,43","478667,07",,,,,,,
2027-04,"15 293,00 kr","500,00","17785,44","158,49","500,00","19878,35","274,75","3203,00","93011,36","640,35","2203,00","90319,75","591,81","5087,00","106835,38","1383,58","3800,00","139304,72","711,96","3760,93","467135,00",,,,,,,
2027-05,"15 293,00 kr","500,00","17440,94","155,50","500,00","19650,02","271,67","3203,00","90431,54","623,18","2203,00","88698,18","581,43","5087,00","103085,60","1337,22","3800,00","136201,24","696,52","3665,53","455507,53",,,,,,,
2027-06,"15 293,00 kr","500,00","17093,43","152,49","500,00","19418,57","268,55","3203,00","87834,43","605,89","2203,00","87066,18","570,99","5087,00","99288,89","1290,29","3800,00","133082,25","681,01","3569,22","443783,76",,,,,,,
2027-07,"15 293,00 kr","500,00","16742,89","149,45","500,00","19183,96","265,39","3203,00","85219,92","588,49","2203,00","85423,67","560,49","5087,00","95444,66","1242,77","3800,00","129947,66","665,41","3472,00","431962,75",,,,,,,
2027-08,"15 293,00 kr","500,00","16389,27","146,39","500,00","18946,14","262,18","3203,00","82587,90","570,97","2203,00","83770,58","549,91","5087,00","91552,31","1194,65","3800,00","126797,40","649,74","3373,85","420043,60",,,,,,,
2027-09,"15 293,00 kr","500,00","16032,57","143,30","500,00","18705,07","258,93","3203,00","79938,23","553,34","2203,00","82106,86","539,27","5087,00","87611,24","1145,93","3800,00","123631,39","633,99","3274,76","408025,35",,,,,,,
2027-10,"15 293,00 kr","500,00","15672,75","140,18","500,00","18460,71","255,64","3203,00","77270,82","535,59","2203,00","80432,42","528,56","5087,00","83620,84","1096,60","3800,00","120449,54","618,16","3174,72","395907,07",,,,,,,
2027-11,"15 293,00 kr","500,00","15309,78","137,03","500,00","18213,00","252,30","3203,00","74585,53","517,71","2203,00","78747,20","517,78","5087,00","79580,49","1046,65","3800,00","117251,79","602,25","3073,73","383687,80",,,,,,,
2027-12,"15 293,00 kr","500,00","14943,64","133,86","500,00","17961,91","248,91","3203,00","71882,26","499,72","2203,00","77051,14","506,94","5087,00","75489,57","996,08","3800,00","114038,05","586,26","2971,77","371366,57",,,,,,,
2028-01,"15 293,00 kr","500,00","14574,30","130,66","500,00","17707,39","245,48","3203,00","69160,87","481,61","2203,00","75344,15","496,02","5087,00","71347,45","944,88","3800,00","110808,24","570,19","2868,83","358942,40",,,,,,,
2028-02,"15 293,00 kr","500,00","14201,72","127,43","500,00","17449,39","242,00","3203,00","66421,25","463,38","2203,00","73626,18","485,03","5087,00","67153,48","893,03","3800,00","107562,28","554,04","2764,91","346414,31",,,,,,,
2028-03,"15 293,00 kr","500,00","13825,90","124,17","500,00","17187,87","238,48","3203,00","63663,27","445,02","2203,00","71897,15","473,97","5087,00","62907,02","840,54","3800,00","104300,09","537,81","2659,99","333781,30",,,,,,,
2028-04,"15 293,00 kr","500,00","13446,78","120,88","500,00","16922,77","234,90","3203,00","60886,81","426,54","2203,00","70156,99","462,84","5087,00","58607,41","787,39","3800,00","101021,59","521,50","2554,05","321042,35",,,,,,,
2028-05,"15 293,00 kr","500,00","13064,35","117,57","500,00","16654,05","231,28","3203,00","58091,75","407,94","2203,00","68405,62","451,64","5087,00","54253,98","733,57","3800,00","97726,70","505,11","2447,10","308196,45",,,,,,,
2028-06,"15 293,00 kr","500,00","12678,58","114,23","500,00","16381,65","227,61","3203,00","55277,97","389,21","2203,00","66642,99","440,36","5087,00","49846,06","679,08","3800,00","94415,33","488,63","2339,12","295242,57",,,,,,,
2028-07,"15 293,00 kr","500,00","12289,43","110,85","500,00","16105,54","223,88","3203,00","52445,33","370,36","2203,00","64869,00","429,01","5087,00","45382,96","623,91","3800,00","91087,41","472,08","2230,10","282179,67",,,,,,,
2028-08,"15 293,00 kr","500,00","11896,88","107,45","500,00","15825,65","220,11","3203,00","49593,72","351,38","2203,00","63083,59","417,59","5087,00","40864,00","568,04","3800,00","87742,85","455,44","2120,02","269006,69",,,,,,,
2028-09,"15 293,00 kr","500,00","11500,90","104,02","500,00","15541,93","216,28","3203,00","46722,99","332,28","2203,00","61286,69","406,10","5087,00","36288,49","511,48","3800,00","84381,56","438,71","2008,88","255722,56",,,,,,,
2028-10,"15 293,00 kr","500,00","11101,45","100,56","500,00","15254,34","212,41","3203,00","43833,04","313,04","2203,00","59478,23","394,53","5087,00","31655,70","454,21","3800,00","81003,47","421,91","1896,66","242326,22",,,,,,,
2028-11,"15 293,00 kr","500,00","10698,52","97,06","500,00","14962,81","208,48","3203,00","40923,72","293,68","2203,00","57658,12","382,89","5087,00","26964,92","396,22","3800,00","77608,49","405,02","1783,35","228816,57",,,,,,,
2028-12,"15 293,00 kr","500,00","10292,06","93,54","500,00","14667,30","204,49","3203,00","37994,91","274,19","2203,00","55826,29","371,17","5087,00","22215,43","337,51","3800,00","74196,53","388,04","1668,95","215192,52",,,,,,,
2029-01,"15 293,00 kr","500,00","9882,04","89,99","500,00","14367,76","200,45","3203,00","35046,47","254,57","2203,00","53982,67","359,38","5087,00","17406,49","278,06","3800,00","70767,51","370,98","1553,43","201452,96",,,,,,,
2029-02,"15 293,00 kr","500,00","9468,45","86,40","500,00","14064,12","196,36","3203,00","32078,29","234,81","2203,00","52127,19","347,51","5087,00","12537,37","217,87","3800,00","67321,35","353,84","1436,80","187596,75",,,,,,,
2029-03,"15 293,00 kr","500,00","9051,23","82,79","500,00","13756,33","192,21","3203,00","29090,21","214,92","2203,00","50259,76","335,57","5087,00","7607,29","156,93","3800,00","63857,96","336,61","1319,02","173622,77",,,,,,,
2029-04,"15 293,00 kr","500,00","8630,37","79,14","500,00","13444,33","188,00","3203,00","26082,11","194,90","2203,00","48380,30","323,55","5087,00","2615,51","95,22","3800,00","60377,25","319,29","1200,10","159529,87",,,,,,,
2029-05,"15 253,00 kr","500,00","8205,83","75,46","3000,00","10628,07","183,74","3100,00","23156,86","174,75","2203,00","46488,75","311,45","2650,00","−1,75","32,74","3800,00","56879,13","301,89","1080,02","145356,89",,,,,,,
2029-06,"15 206,00 kr","1000,00","7277,57","71,75","5000,00","5773,32","145,25","3203,00","20109,02","155,15","2203,00","44585,02","299,27",,,,"3800,00","53363,53","284,40","957,57","131108,46",,,,,,,
2029-07,"15 206,00 kr","1000,00","6341,21","63,63","5000,00","852,22","78,90","3203,00","17040,75","134,73","2203,00","42669,04","287,02",,,,"3800,00","49830,35","266,82","831,10","116733,56",,,,,,,
2029-08,"15 203,00 kr","2300,00","4096,65","55,44","900,00","−36,13","11,65","6000,00","11154,92","114,17","2203,00","40740,72","274,68",,,,"3800,00","46279,50","249,15","705,10","102235,65",,,,,,,
2029-09,"14 903,00 kr","2700,00","1432,47","35,82",,,,"6200,00","5029,66","74,74","2203,00","38799,99","262,27",,,,"3800,00","42710,90","231,40","640,35","87973,01",,,,,,,
2029-10,"14 872,68 kr","1468,29","−23,29","12,52",,,,"5104,39","−41,04","33,70","4500,00","34549,77","249,77",,,,"3800,00","39124,45","213,55","509,55","73609,88",,,,,,,
2029-11,"14 800,00 kr",,,,,,,,,,"11000,00","23772,18","222,41",,,,"3800,00","35520,07","195,62","482,37","59292,25",,,,,,,
2029-12,"14 800,00 kr",,,,,,,,,,"11000,00","12925,21","153,03",,,,"3800,00","31897,67","177,60","330,63","44822,89",,,,,,,
2029-12,"14 800,00 kr",,,,,,,,,,"11000,00","2008,42","83,21",,,,"3800,00","28257,16","159,49","242,69","30265,58",,,,,,,
2030-01,"14 091,62 kr",,,,,,,,,,"2091,62","−70,28","12,93",,,,"12000,00","16398,45","141,29","154,22","16328,17",,,,,,,
2030-02,"13 000,00 kr",,,,,,,,,,,,,,,,"13000,00","3480,44","81,99","152,27","3480,44",,,,,,,
2030-03,"3 562,43 kr",,,,,,,,,,,,,,,,"3562,43","−64,59","17,40","17,40","−64,59",,,,,,,
2030-04,"0,00 kr",,,,,,,,,,,,,,,,,,,"64,59","0,00",,,,,,,
2030-05,"0,00 kr",,,,,,,,,,,,,,,,,,,,,,,,,,,